name,openHoursPerWeek,ECP,dhb-region,latitude,longitude,depot
St Lukes Medical Pharmacy,62.0,True,Central Auckland,-36.88177290000001,174.7315122,Community
Village Pharmacy Ngaio,52.0,True,Wellington,-41.24819049999999,174.7743775,Community
Unichem Kope Pharmacy,44.5,True,Bay of Plenty,-37.9617659,176.98199350000004,Community
Unichem Kelston Medical Pharmacy,45.0,True,Waitematā DHB,-36.90562870000001,174.6635986,Community
Unichem Leamington Pharmacy,48.0,True,Waikato,-37.9061102,175.4751589,Community
Unichem Beachlands Pharmacy,45.0,True,CM Health,-36.8822264,174.9974191,Community
Wellworks Pharmacy Boulcott,61.0,True,Hutt,-41.2049105,174.92669039999998,Community
Unichem Martinborough Pharmacy,51.5,True,Wairarapa,-41.2194696,175.46071129999996,Community
Langs Pharmacy,42.5,True,Wairarapa,-41.116791,175.32387749999998,Community
Life Pharmacy Masterton,53.0,True,Wairarapa,-40.9499064,175.66120780000006,Community
Unichem Springlands Pharmacy,61.5,True,Nelson Marlborough,-41.5097576,173.93520220000005,Community
Central Otago Pharmacy Cromwell,45.5,True,Southern,-45.0496762,169.19456679999996,Community
Pharmacy Over East,44.5,True,Whanganui,-39.9171495,175.05959689999997,Community
Woolworths Pharmacy Hobsonville,77.0,True,Waitematā DHB,-36.7979235,174.6485436,Community
Home Pharmacy Richmond Road,51.0,True,Central Auckland,-36.8551457,174.7319236,Community
Manukau Medical Pharmacy,60.0,True,CM Health,-36.9932454,174.88261620000003,Community
Family Care Pharmacy,42.5,True,CM Health,-36.9000737,174.90868,Community
Forbury Pharmacy,42.5,True,Southern,-45.8986427,170.48558230000003,Community
White Swan Pharmacy,47.0,True,Central Auckland,-36.9124167,174.72795789999998,Community
Unichem Hickeys Pharmacy,57.5,True,Waitematā DHB,-36.5868111,174.69396210000002,Community
Unichem Rangatira Pharmacy,46.0,True,Waitematā DHB,-36.7926401,174.6877955,Community
Cook Street Pharmacy,45.0,True,MidCentral,-40.3660107,175.6069971,Community
Life Pharmacy Tauranga,56.0,True,Bay of Plenty,-37.6857803,176.16923999999995,Community
Central Parade & Dee Street Pharmacy Ltd,45.0,True,Bay of Plenty,-37.6561345,176.20066710000003,Community
Pharmacy Plus,46.0,True,CM Health,-37.0626431,174.94201969999995,Community
Glenns Pharmacy,40.0,False,Hawkes Bay,-39.535198,176.848406,Community
Vogeltown Pharmacy,48.5,True,Taranaki,-39.0790869,174.0803949,Community
Woolworths Pharmacy Victoria Avenue (Whanganui),55.0,True,Whanganui,-39.92528069999999,175.03851080000004,Community
Life Pharmacy Franklin's,57.0,True,Waitematā DHB,-36.3974348,174.66404809999995,Community
Life Pharmacy Meadowbank,56.5,True,Central Auckland,-36.87587749999999,174.82816460000004,Community
Remedy Pharmacy - Riccarton,48.75,True,Canterbury,-43.5309505,172.59281609999994,Community
Ngongotaha Pharmacy,45.0,True,Lakes,-38.0808233,176.213585,Community
Rust Avenue Pharmacy,42.5,True,Northland,-35.7235496,174.31822080000006,Community
Bay View Village Pharmacy,43.0,True,Hawkes Bay,-39.4197328,176.8661124,Community
Woolworths Pharmacy Ferrymead,77.0,True,Canterbury,-43.5564314,172.70037100000002,Community
Ihakara Pharmacy Ltd,45.0,True,Wellington,-40.9170014,174.99737349999998,Community
Life Pharmacy Riccarton,68.0,True,Canterbury,-43.5310205,172.597776,Community
Shirley Dispensary,48.75,True,Canterbury,-43.50695410000001,172.66245159999994,Community
3 Kings Plaza Pharmacy,68.5,True,Central Auckland,-36.908797482930694,174.75537917672114,Community
Unichem Walls and Roche Pharmacy,47.5,True,Central Auckland,-36.91159359999999,174.7762679,Community
Unichem Matamata Pharmacy,43.5,True,Waikato,-37.8092398,175.77842729999998,Community
Weymouth Whanau Pharmacy,44.0,True,CM Health,-37.0430362,174.8655899,Community
Maunganui Road Pharmacy,44.75,True,Bay of Plenty,-37.644999,176.1899352,Community
Unichem Papatoetoe Pharmacy,49.0,True,CM Health,-36.9799477,174.85362110000005,Community
Maungaraki Pharmacy,45.5,True,Hutt,-41.2080139,174.87831689999996,Community
Unichem Leabank Pharmacy,48.0,True,CM Health,-37.0275603,174.88731810000002,Community
Life Pharmacy Northlands,68.0,True,Canterbury,-43.4943164,172.6097578,Community
Papakura Marae Pharmacy,38.0,True,CM Health,-37.07020840000001,174.95916680000005,Community
Village Pharmacy Khandallah,48.5,True,Wellington,-41.2470271,174.79160390000004,Community
Unichem Rototuna Pharmacy,89.0,True,Waikato,-37.72903700000001,175.274186,Community
Life Pharmacy Napier City,56.0,True,Hawkes Bay,-39.4906483,176.9168696,Community
Lambton Square Pharmacy,54.0,True,Wellington,-41.2818124,174.77562549999993,Community
Te Puna Hauora Pharmacy,42.5,True,Waitematā DHB,-36.7950117,174.75595139999996,Community
Taradale Medical Pharmacy,45.0,True,Hawkes Bay,-39.5370826,176.8459068,Community
Pharmacy Westend Ltd,45.0,True,Lakes,-38.1452919,176.2377508,Community
Woolworths Pharmacy Rolleston,77.0,True,Canterbury,-43.5947243,172.3865479,Community
Leeston Pharmacy,45.0,True,Canterbury,-43.762551,172.29818,Community
Care Pharmacy at Totara,40.0,True,Hawkes Bay,-39.6371595,176.8440031,Community
Turuki Pharmacy,45.0,True,CM Health,-36.9720997,174.8035093,Community
Devonport 1st Pharmacy (Formerly known as Devonport/Wigmores Pharmacy),61.5,True,Waitematā DHB,-36.8310873,174.79721889999996,Community
Woolworths Pharmacy St Johns ,59.0,True,Central Auckland,-36.8792896,174.8517382,Community
Life Pharmacy Albany,67.5,True,Waitematā DHB,-36.7281522,174.7079397,Community
ProHealth Manukau Pharmacy,37.5,True,CM Health,-36.9841389,174.87851920000003,Community
North Avon Pharmacy,47.5,True,Canterbury,-43.5177969,172.65391650000004,Community
North Shore Hospital Outpatients Pharmacy,55.5,True,Waitematā DHB,-36.781103,174.7570023,Community
Unichem Orrs Pharmacy Maungaturoto,40.0,True,Northland,-36.11037045723121,174.35408413410187,Community
Unichem Waikanae Health Pharmacy,54.5,True,Wellington,-40.87607749999999,175.06364029999997,Community
Alexandra Pharmacy,46.0,True,Southern,-45.252134,169.38873549999994,Community
Prohealth Panmure Pharmacy (previously known as Health Star Pharmacy Ltd),44.0,True,Central Auckland,-36.9009216,174.85680909999996,Community
Woolworths Pharmacy Fraser Cove,59.0,True,Bay of Plenty,-37.71352220000001,176.1517394,Community
Mt Albert Village Pharmacy,45.0,True,Central Auckland,-36.88385330000001,174.71560650000004,Community
St Albans Pharmacy,42.5,True,Canterbury,-43.5135859,172.6363917,Community
Kaiapoi Crossing Pharmacy,45.0,False,Canterbury,-43.3852513,172.65721600000006,Community
Pharmville on St Albans Pharmacy,37.5,False,Central Auckland,-36.88316220000001,174.74846350000007,Community
Hillsborough Pharmacy,70.0,True,Central Auckland,-36.919512,174.75763110000003,Community
Welcome Bay Pharmacy,45.0,True,Bay of Plenty,-37.7256849,176.19264109999995,Community
Hutt City Pharmacy,42.5,True,Hutt,-41.2069807,174.9090734,Community
Unichem The Palms Pharmacy,50.5,True,MidCentral,-40.3565526,175.61946680000005,Community
Devonport 7 Day Pharmacy,68.0,True,Waitematā DHB,-36.8297726,174.7961873,Community
Unichem Wigram Pharmacy,53.0,True,Canterbury,-43.552819,172.5571268,Community
Campus Pharmacy Waikato,51.0,True,Waikato,-37.789244,175.31075429999999,Community
University Pharmacy Canterbury,45.0,True,Canterbury,-43.5237542,172.58274200000005,Community
Woolworths Pharmacy Invercargill,69.0,True,Southern,-46.4127714,168.3577797,Community
Woolworths Pharmacy Te Rapa,59.0,True,Waikato,-37.746476,175.2338339,Community
Unichem Island Bay Pharmacy,52.75,True,Wellington,-41.3346575,174.77359679999995,Community
Woolworths Pharmacy Northlands,59.0,True,Canterbury,-43.4931191,172.6095818,Community
Chemist Warehouse The Base,98.0,True,Waikato,-37.74946713268229,175.23473381996155,Community
Geraldine Pharmacy,54.5,True,South Canterbury,-44.09114359999999,171.24367200000006,Community
Hokowhitu Pharmacy,42.5,True,MidCentral,-40.3632552,175.6339287,Community
Woolworths Pharmacy Belfast,71.0,True,Canterbury,-43.4482854,172.6297527,Community
Unichem University Pharmacy,35.0,True,Wellington,-41.28848329999999,174.769051,Community
Pharmacy on Meade,52.0,True,Waikato,-37.8050951,175.28246260000003,Community
Huntly West Pharmacy,40.0,True,Waikato,-37.5611934,175.15137989999994,Community
CompoundLabs - Compounding Pharmacy,42.5,False,Waitematā DHB,-36.7743863,174.7339307,Community
Newsham Park Pharmacy,40.0,True,CM Health,-37.1869953,174.922089,Community
Jaks Pharmacy,66.5,True,CM Health,-36.9893066,174.87496929999998,Community
Green Bay Pharmacy,55.0,True,Waitematā DHB,-36.9307162,174.6793861,Community
Unichem Manukau Pharmacy,63.0,True,CM Health,-36.98714239999999,174.8837072,Community
Renwick Healthcare Depot,45.0,False,Nelson Marlborough,-41.50778029999999,173.826372,Depot
St Johns Pharmacy,45.0,False,Whanganui,-39.918921,175.0382826,Community
Civic Health Pharmacy,40.0,True,Nelson Marlborough,-41.5133849,173.9554352,Community
Unichem Chadwick Pharmacy,45.0,True,Bay of Plenty,-37.7280481,176.1357911,Community
Unichem Browns Road Pharmacy,84.0,True,CM Health,-37.01775949308733,174.86342936365372,Community
Maungatapu Pharmacy,43.0,True,Bay of Plenty,-37.7163169,176.17934839999998,Community
Arrowtown Pharmacy,66.5,True,Southern,-44.9385493,168.83126790000006,Community
Onslow Pharmacy,40.0,False,Wellington,-41.2294107,174.80073960000004,Community
The Caring Pharmacy ,42.5,False,Waitematā DHB,-36.8777382,174.6306525,Community
Avonhead Pharmacy,59.0,True,Canterbury,-43.5110614,172.55607380000004,Community
Pukekohe South Pharmacy,42.5,True,CM Health,-37.2143371,174.91007360000003,Community
Wellington Compounding Pharmacy,51.5,True,Wellington,-41.31598,174.81610720000003,Community
Hanafins Pharmacy,45.0,False,Canterbury,-43.5289709,172.60520689999998,Community
Marton Pharmacy,45.0,True,Whanganui,-40.0686732,175.37844280000002,Community
CityMed Pharmacy,56.0,True,Central Auckland,-36.84498,174.76534700000002,Community
Pharmacy 547,45.0,True,Waikato,-37.792204,175.2837684,Community
Gimbletts Pharmacy,45.83333333333333,True,MidCentral,-40.4728251,175.28125439999997,Community
Berrys Tararua Pharmacy,45.0,True,MidCentral,-40.623645,175.29071909999993,Community
Unichem Kolmar Pharmacy,45.0,True,CM Health,-36.9705824,174.85938310000006,Community
Mangakino Pharmacy Depot,39.0,False,Lakes,-38.37063570000001,175.77413909999996,Depot
Freemans Bay Pharmacy,46.0,True,Central Auckland,-36.8520937,174.75105310000004,Community
Unichem New Lynn Pharmacy,51.0,True,Waitematā DHB,-36.9048545,174.68445129999998,Community
Thorntons Pharmacy,45.0,True,Central Auckland,-36.89531280000001,174.69662089999997,Community
Silverstream Kaiapoi Pharmacy,42.5,True,Canterbury,-43.38123969999999,172.6362604,Community
Unichem Ōtara Pharmacy,61.5,True,CM Health,-36.9619553,174.8732366,Community
South Seas Pharmacy,0.0,True,CM Health,-36.9598671,174.87431430000004,Community
Life Pharmacy Milford,58.0,True,Waitematā DHB,-36.7720008,174.7661176,Community
Feilding Health Pharmacy,45.0,True,MidCentral,-40.2165855,175.56990700000006,Community
Birkenhead 7 Day Pharmacy,77.5,True,Waitematā DHB,-36.81234413933998,174.72591340541842,Community
Pharmacy on Dominion,52.75,True,Central Auckland,-36.8846257,174.74864730000002,Community
Newlands Pharmacy,49.5,True,Wellington,-41.2232664,174.82265170000005,Community
Unichem Dannemora Pharmacy,50.0,True,CM Health,-36.9453299,174.90685170000006,Community
Unichem Medical Centre Pharmacy Taupo,42.5,True,Lakes,-38.68932580000001,176.07655309999996,Community
Otahuhu 7 Day Chemist,63.0,True,Central Auckland,-36.9426401,174.8404322,Community
Mazengarb Pharmacy,44.5,True,Wellington,-40.895528,175.009317,Community
Unichem Waiora Pharmacy,48.5,True,Waitematā DHB,-36.8827281,174.6324161,Community
Western Heights Pharmacy,52.0,True,Lakes,-38.1285517,176.2191023,Community
Aramoho Pharmacy,45.0,True,Whanganui,-39.9094251,175.05329600000005,Community
Life Pharmacy Newmarket,73.0,True,Central Auckland,-36.8710078,174.7770568,Community
Counties Care Pharmacy,79.5,True,CM Health,-37.0600374,174.9412909,Community
Avalon Medical Centre Pharmacy,50.5,True,Hutt,-41.19772620000001,174.9376836,Community
Epsom Kiwi Chemist,40.0,True,Central Auckland,-36.8862775,174.77579079999998,Community
Kenepuru Pharmacy,72.0,True,Wellington,-41.14635826073668,174.8348593711853,Community
Unichem Grey Lynn Pharmacy,52.5,True,Central Auckland,-36.86547609999999,174.73727610000003,Community
Unichem Grays Pharmacy,45.75,True,Southern,-46.2382075,169.7381944,Community
Unichem Shotover Pharmacy,45.0,True,Southern,-45.0018828,168.7817782,Community
Unichem Inglewood Pharmacy,48.5,True,Taranaki,-39.15633520000001,174.20714020000003,Community
Royal Road Pharmacy,46.0,True,Waitematā DHB,-36.83020339999999,174.609995,Community
Unichem Marshalls Pharmacy Te Awamutu,54.0,True,Waikato,-38.01039170000001,175.32181519999995,Community
Unichem Marshalls Medical Pharmacy,40.0,True,Waikato,-38.0112891,175.32248479999998,Community
Woodville Medicine Depot,40.0,False,MidCentral,-40.3373811,175.86719790000006,Depot
Botanical Road Pharmacy,43.75,True,MidCentral,-40.3568109,175.5895756,Community
Greenlane Clinical Centre Pharmacy,45.0,True,Central Auckland,-36.89418340212811,174.7805768251419,Community
Vautier Pharmacy Summerhill Village,47.5,True,MidCentral,-40.3871711,175.6391573,Community
Vautier Pharmacy Pioneer Village,42.5,True,MidCentral,-40.3620835,175.598379,Community
Searles Allenton Pharmacy (Ash) Ltd,45.0,True,Canterbury,-43.8872655,171.7427728,Community
Three Rivers Pharmacy - Ashburton,42.5,True,Canterbury,-43.8887696,171.73855479999997,Community
